Year,drugsmedia,unemploy,approval,rwr86,ghwb89
Jul-84,15,7.5,53.5,0,0
Aug-84,30,7.5,54,0,0
Sep-84,2,7.3,57,0,0
Oct-84,16,7.4,56,0,0
Nov-84,27,7.2,61,0,0
Dec-84,11,7.3,59,0,0
Jan-85,13,7.3,63,0,0
Feb-85,45,7.2,60,0,0
Mar-85,57,7.2,56,0,0
Apr-85,28,7.3,52,0,0
May-85,32,7.2,55,0,0
Jun-85,13,7.4,58,0,0
Jul-85,17,7.4,63,0,0
Aug-85,15,7.1,61,0,0
Sep-85,36,7.1,60,0,0
Oct-85,14,7.1,63,0,0
Nov-85,10,7,63.5,0,0
Dec-85,25,7,63,0,0
Jan-86,9,6.7,64,0,0
Feb-86,20,7.2,63,0,0
Mar-86,18,7.2,63,0,0
Apr-86,17,7.1,62,0,0
May-86,26,7.2,68,0,0
Jun-86,36,7.2,62.5,0,0
Jul-86,83,7,63,0,0
Aug-86,89,6.9,61,0,0
Sep-86,76,7,63,1,0
Oct-86,52,7,63,0,0
Nov-86,27,6.9,55,0,0
Dec-86,12,6.6,47,0,0
Jan-87,29,6.6,58,0,0
Feb-87,24,6.6,49,0,0
Mar-87,22,6.6,46,0,0
Apr-87,33,6.3,48,0,0
May-87,14,6.3,47,0,0
Jun-87,15,6.2,50,0,0
Jul-87,5,6.1,49,0,0
Aug-87,9,6,45,0,0
Sep-87,8,5.9,49,0,0
Oct-87,11,6,51,0,0
Nov-87,27,5.8,50,0,0
Dec-87,8,5.7,49,0,0
Jan-88,23,5.7,50,0,0
Feb-88,48,5.7,49,0,0
Mar-88,42,5.7,50,0,0
Apr-88,57,5.4,50,0,0
May-88,91,5.6,49,0,0
Jun-88,41,5.4,49.5,0,0
Jul-88,29,5.4,52.5,0,0
Aug-88,21,5.6,53,0,0
Sep-88,21,5.4,54,0,0
Oct-88,41,5.4,51,0,0
Nov-88,26,5.3,57,0,0
Dec-88,22,5.3,63,0,0
Jan-89,29,5.4,53,0,0
Feb-89,22,5.2,62,0,0
Mar-89,53,5,56,0,0
Apr-89,28,5.2,58,0,0
May-89,14,5.2,59,0,0
Jun-89,28,5.3,70,0,0
Jul-89,31,5.2,67,0,0
Aug-89,105,5.2,66.5,0,0
Sep-89,156,5.3,68.5,0,1
Oct-89,53,5.3,64,0,0
Nov-89,34,5.4,70,0,0
Dec-89,65,5.4,71,0,0
Jan-90,90,5.4,80,0,0
Feb-90,73,5.3,73,0,0
Mar-90,32,5.2,74,0,0
Apr-90,44,5.4,68,0,0
May-90,51,5.4,66,0,0
Jun-90,47,5.2,68,0,0
Jul-90,17,5.5,61,0,0
Aug-90,14,5.7,74,0,0
Sep-90,12,5.9,73.4,0,0
Oct-90,16,5.9,70.8,0,0
Nov-90,21,6.2,55.3,0,0
Dec-90,19,6.3,60.7,0,0
Jan-91,5,6.4,72.3,0,0
Feb-91,7,6.6,82,0,0
Mar-91,14,6.8,84.8,0,0
Apr-91,10,6.7,78.7,0,0
May-91,13,6.9,75.7,0,0
Jun-91,21,6.9,72,0,0
Jul-91,22,6.8,71,0,0
Aug-91,7,6.9,71.3,0,0
Sep-91,28,6.9,68,0,0
Oct-91,15,7,64.8,0,0
Nov-91,12,7,54.7,0,0
Dec-91,10,7.3,51,0,0
Jan-92,7,7.3,46,0,0
Feb-92,17,7.4,41.5,0,0
Mar-92,11,7.4,41,0,0
Apr-92,29,7.4,41.5,0,0
May-92,8,7.6,42,0,0
Jun-92,9,7.8,37,0,0
Jul-92,21,7.7,31.5,0,0
Aug-92,10,7.6,40,0,0
Sep-92,8,7.6,37.5,0,0
Oct-92,13,7.3,34,0,0
Nov-92,5,7.4,43,0,0
Dec-92,18,7.4,49,0,0
