"country" "democ" "sdnew" "military" "gnpcats" "lpop" "civ_war" "int_war"
"129" "st. lucia" NA  1  0 "3000-3999" 11.98  0  0
"130" "st. vincent" NA  1  0 "2000-2999" 11.65  0  0
"131" "sudan"  0  5  1 "<1000" 17.19  1  0
"132" "suriname" NA  2  0 "1000-1999" 12.94  0  0
"133" "swaziland"  0  2  0 "1000-1999" 13.64  0  0
"134" "sweden" 10  1  0 ">4000" 15.98  0  0
"135" "switzerland" 10  1  0 ">4000" 15.76  0  0
"136" "syria"  0  4  1 "1000-1999" 16.42  0  0
"137" "taiwan"  6  2  0 ">4000" 16.86  0  0
"138" "tanzania"  0  2  0 "<1000" 17.15  0  0
"139" "thailand"  6  3  0 "2000-2999" 17.88  0  0
"140" "togo"  0  5  1 "<1000" 15.23  0  0
"141" "trinidad and tobago"  8  2  0 "3000-3999" 14.08  0  0
"142" "tunisia"  0  3  0 "1000-1999" 15.97  0  0
"143" "turkey" 10  5  0 "2000-2999" 17.92  1  0
"144" "uganda"  0  3  1 "<1000" 16.76  0  0
"145" "united arab emirates"  0  1  0 ">4000" 14.77  0  0
"146" "united kingdom" 10  1  0 ">4000" 17.88  0  0
"147" "united states" 10  1  0 ">4000" 19.36  0  1
"148" "uruguay" 10  1  0 "3000-3999" 14.98  0  0
"149" "vanuatu" NA  1  0 "1000-1999" 12.21  0  0
"150" "venezuela"  9  3  0 "2000-2999" 16.85  0  0
"151" "vietnam" NA  2  0 "<1000" 18.07  0  0
"152" "western samoa" NA  1  0 "<1000" 12.21  0  0
"153" "yemen (aden-south)" NA NA NA "NA" NA NA NA
"154" "yemen (sana-north)" NA  3  1 "<1000" 16.30  0  0
"155" "yugoslavia/slovenia"  0  5  0 "NA" 16.17  1  0
"156" "zaire" NA  5  1 "<1000" 17.51  0  0
"157" "zambia"  6  3  0 "<1000" 16.01  0  0
"158" "zimbabwe"  0  2  0 "<1000" 16.19  0  1
